t,topico,FL,FR,dpad_x
15.180,rodas,0.0,-0.0,
15.237,rodas,0.0,-0.0,
15.237,rodas,0.0,-0.0,
15.276,rodas,0.0,-0.0,
15.277,rodas,0.0,-0.0,
15.277,rodas,0.0,-0.0,
15.337,rodas,0.0,-0.0,
15.337,rodas,0.0,-0.0,
15.376,rodas,0.0,-0.0,
15.377,rodas,0.0,-0.0,
15.377,rodas,5.0,-0.0,
15.437,rodas,5.0,-0.0,
15.437,rodas,5.0,-0.0,
15.477,rodas,5.0,-0.0,
15.477,rodas,10.0,-0.0,
15.477,rodas,10.0,-0.0,
15.537,rodas,10.0,-0.0,
15.537,rodas,9.0,-0.0,
15.577,rodas,9.0,-0.0,
15.577,rodas,9.0,-0.0,
15.577,rodas,9.0,-0.0,
15.637,rodas,7.0,-0.0,
15.637,rodas,7.0,-0.0,
15.677,rodas,7.0,-0.0,
15.677,rodas,7.0,-0.0,
15.677,rodas,7.0,-0.0,
15.737,rodas,7.0,-0.0,
15.737,rodas,7.0,-0.0,
15.777,rodas,0.0,-0.0,
15.777,rodas,0.0,-0.0,
15.777,rodas,0.0,-0.0,
15.837,rodas,0.0,-0.0,
15.837,rodas,0.0,-0.0,
15.877,rodas,0.0,-0.0,
15.878,rodas,0.0,-0.0,
15.879,rodas,0.0,-0.0,
15.937,rodas,0.0,-0.0,
15.937,rodas,0.0,-0.0,
15.977,rodas,0.0,-0.0,
15.977,rodas,0.0,-0.0,
15.977,rodas,0.0,-0.0,
16.037,rodas,0.0,-0.0,
16.037,rodas,0.0,-0.0,
16.077,rodas,0.0,-0.0,
16.077,rodas,0.0,-0.0,
16.077,rodas,0.0,-0.0,
16.137,rodas,0.0,-0.0,
16.137,rodas,0.0,-0.0,
16.177,rodas,0.0,-0.0,
16.177,rodas,0.0,-0.0,
16.177,rodas,0.0,-0.0,
16.237,rodas,0.0,-0.0,
16.237,rodas,0.0,-0.0,
16.277,rodas,0.0,-0.0,
16.277,rodas,0.0,-0.0,
16.277,rodas,0.0,-0.0,
16.337,rodas,0.0,-0.0,
