t,fonte,key,mux,roda
61.6395,mux,0.0,0.0,0.0
61.6807,roda,0.0,0.0,0.0
61.6891,key,0.0,0.0,0.0
61.6893,mux,0.0,0.0,0.0
61.7392,key,0.0,0.0,0.0
61.7395,mux,0.0,0.0,0.0
61.7808,roda,0.0,0.0,0.0
61.7892,key,0.0,0.0,0.0
61.7896,mux,0.0,0.0,0.0
61.8391,key,0.0,0.0,0.0
61.8394,mux,0.0,0.0,0.0
61.8809,roda,0.0,0.0,0.0
61.8891,key,0.0,0.0,0.0
61.8896,mux,0.0,0.0,0.0
61.9391,key,0.0,0.0,0.0
61.9395,mux,0.0,0.0,0.0
61.9807,roda,0.0,0.0,0.0
61.9891,key,0.0,0.0,0.0
61.9895,mux,0.0,0.0,0.0
62.039,key,0.0,0.0,0.0
62.0393,mux,0.0,0.0,0.0
62.0807,roda,0.0,0.0,0.0
62.0891,key,0.0,0.0,0.0
62.0894,mux,0.0,0.0,0.0
62.1391,key,0.0,0.0,0.0
62.1394,mux,0.0,0.0,0.0
62.1807,roda,0.0,0.0,0.0
62.1891,key,0.0,0.0,0.0
62.1895,mux,0.0,0.0,0.0
62.2391,key,0.0,0.0,0.0
62.2395,mux,0.0,0.0,0.0
62.2808,roda,0.0,0.0,0.0
62.2891,key,0.0,0.0,0.0
62.2896,mux,0.0,0.0,0.0
62.3391,key,0.0,0.0,0.0
62.3397,mux,0.0,0.0,0.0
62.3809,roda,0.0,0.0,0.0
62.3891,key,0.0,0.0,0.0
62.3895,mux,0.0,0.0,0.0
62.4391,key,0.0,0.0,0.0
62.4395,mux,0.0,0.0,0.0
62.4808,roda,0.0,0.0,0.0
62.4891,key,0.0,0.0,0.0
62.4895,mux,0.0,0.0,0.0
62.5391,key,0.0,0.0,0.0
62.5395,mux,0.0,0.0,0.0
62.5808,roda,0.0,0.0,0.0
62.5891,key,0.0,0.0,0.0
62.5895,mux,0.0,0.0,0.0
62.6392,key,0.0,0.0,0.0
62.6396,mux,0.0,0.0,0.0
62.6808,roda,0.0,0.0,0.0
62.6891,key,0.0,0.0,0.0
62.6895,mux,0.0,0.0,0.0
62.7391,key,0.0,0.0,0.0
62.7395,mux,0.0,0.0,0.0
62.7808,roda,0.0,0.0,0.0
62.7891,key,0.0,0.0,0.0
62.7895,mux,0.0,0.0,0.0
62.8391,key,0.0,0.0,0.0
62.8396,mux,0.0,0.0,0.0
62.8808,roda,0.0,0.0,0.0
62.8891,key,0.0,0.0,0.0
62.8896,mux,0.0,0.0,0.0
62.9392,key,0.0,0.0,0.0
62.9396,mux,0.0,0.0,0.0
62.9808,roda,0.0,0.0,0.0
62.9891,key,0.0,0.0,0.0
62.9895,mux,0.0,0.0,0.0
63.0392,key,0.0,0.0,0.0
63.0396,mux,0.0,0.0,0.0
63.0808,roda,0.0,0.0,0.0
63.0891,key,0.0,0.0,0.0
63.0895,mux,0.0,0.0,0.0
63.1392,key,0.0,0.0,0.0
63.1397,mux,0.0,0.0,0.0
63.1809,roda,0.0,0.0,0.0
63.1891,key,0.0,0.0,0.0
63.1896,mux,0.0,0.0,0.0
63.2391,key,0.0,0.0,0.0
63.2395,mux,0.0,0.0,0.0
63.2806,roda,0.0,0.0,0.0
63.289,key,0.0,0.0,0.0
63.2893,mux,0.0,0.0,0.0
63.3391,key,0.0,0.0,0.0
63.3394,mux,0.0,0.0,0.0
63.3807,roda,0.0,0.0,0.0
63.3891,key,0.0,0.0,0.0
63.3895,mux,0.0,0.0,0.0
63.4392,key,0.0,0.0,0.0
63.4395,mux,0.0,0.0,0.0
63.4806,roda,0.0,0.0,0.0
63.4891,key,0.0,0.0,0.0
63.4894,mux,0.0,0.0,0.0
63.5391,key,0.0,0.0,0.0
63.5395,mux,0.0,0.0,0.0
63.5811,roda,0.0,0.0,0.0
63.5891,key,0.0,0.0,0.0
63.5894,mux,0.0,0.0,0.0
63.6391,key,0.0,0.0,0.0
63.6395,mux,0.0,0.0,0.0
63.6809,roda,0.0,0.0,0.0
63.6891,key,0.0,0.0,0.0
63.6893,mux,0.0,0.0,0.0
63.7391,key,0.0,0.0,0.0
63.7395,mux,0.0,0.0,0.0
63.7807,roda,0.0,0.0,0.0
63.7891,key,0.0,0.0,0.0
63.7896,mux,0.0,0.0,0.0
63.8391,key,0.0,0.0,0.0
63.8395,mux,0.0,0.0,0.0
63.8807,roda,0.0,0.0,0.0
63.8891,key,0.0,0.0,0.0
63.8895,mux,0.0,0.0,0.0
63.9391,key,0.0,0.0,0.0
63.9396,mux,0.0,0.0,0.0
63.9809,roda,0.0,0.0,0.0
63.9892,key,0.0,0.0,0.0
63.9896,mux,0.0,0.0,0.0
64.0391,key,0.0,0.0,0.0
64.0395,mux,0.0,0.0,0.0
64.0808,roda,0.0,0.0,0.0
64.089,key,0.0,0.0,0.0
64.0893,mux,0.0,0.0,0.0
64.1391,key,0.0,0.0,0.0
64.1394,mux,0.0,0.0,0.0
64.1807,roda,0.0,0.0,0.0
64.189,key,0.0,0.0,0.0
64.1893,mux,0.0,0.0,0.0
64.2391,key,0.0,0.0,0.0
64.2396,mux,0.0,0.0,0.0
64.2808,roda,0.0,0.0,0.0
64.2892,key,0.0,0.0,0.0
64.2896,mux,0.0,0.0,0.0
64.3392,key,0.0,0.0,0.0
64.3396,mux,0.0,0.0,0.0
64.3808,roda,0.0,0.0,0.0
64.3891,key,0.0,0.0,0.0
64.3895,mux,0.0,0.0,0.0
64.4391,key,0.0,0.0,0.0
64.4395,mux,0.0,0.0,0.0
64.4807,roda,0.0,0.0,0.0
64.4893,key,0.0,0.0,0.0
64.4896,mux,0.0,0.0,0.0
64.5392,key,0.0,0.0,0.0
64.5396,mux,0.0,0.0,0.0
64.5807,roda,0.0,0.0,0.0
64.5891,key,0.0,0.0,0.0
64.5895,mux,0.0,0.0,0.0
64.6391,key,0.0,0.0,0.0
64.6395,mux,0.0,0.0,0.0
64.6807,roda,0.0,0.0,0.0
64.6891,key,0.0,0.0,0.0
64.6894,mux,0.0,0.0,0.0
64.7392,key,0.0,0.0,0.0
64.7396,mux,0.0,0.0,0.0
64.7808,roda,0.0,0.0,0.0
64.7891,key,0.0,0.0,0.0
64.7895,mux,0.0,0.0,0.0
64.8392,key,0.0,0.0,0.0
64.8395,mux,0.0,0.0,0.0
64.8807,roda,0.0,0.0,0.0
64.8891,key,0.0,0.0,0.0
64.8894,mux,0.0,0.0,0.0
64.9391,key,0.0,0.0,0.0
64.9395,mux,0.0,0.0,0.0
64.9807,roda,0.0,0.0,0.0
64.9891,key,0.0,0.0,0.0
64.9894,mux,0.0,0.0,0.0
65.0391,key,0.0,0.0,0.0
65.0395,mux,0.0,0.0,0.0
65.0808,roda,0.0,0.0,0.0
65.0892,key,0.0,0.0,0.0
65.0895,mux,0.0,0.0,0.0
65.1392,key,0.0,0.0,0.0
65.1395,mux,0.0,0.0,0.0
65.1808,roda,0.0,0.0,0.0
65.1892,key,0.0,0.0,0.0
65.1895,mux,0.0,0.0,0.0
65.2392,key,0.0,0.0,0.0
65.2395,mux,0.0,0.0,0.0
65.2809,roda,0.0,0.0,0.0
65.2891,key,0.0,0.0,0.0
65.2895,mux,0.0,0.0,0.0
65.3392,key,0.0,0.0,0.0
65.3395,mux,0.0,0.0,0.0
65.3807,roda,0.0,0.0,0.0
65.3891,key,0.0,0.0,0.0
65.3893,mux,0.0,0.0,0.0
65.4391,key,0.0,0.0,0.0
65.4394,mux,0.0,0.0,0.0
65.4806,roda,0.0,0.0,0.0
65.4891,key,0.0,0.0,0.0
65.4895,mux,0.0,0.0,0.0
65.5391,key,0.0,0.0,0.0
65.5395,mux,0.0,0.0,0.0
65.5808,roda,0.0,0.0,0.0
65.5891,key,0.0,0.0,0.0
65.5895,mux,0.0,0.0,0.0
65.6392,key,0.0,0.0,0.0
65.6397,mux,0.0,0.0,0.0
65.6808,roda,0.0,0.0,0.0
65.6891,key,0.0,0.0,0.0
65.6894,mux,0.0,0.0,0.0
65.7391,key,0.0,0.0,0.0
65.7395,mux,0.0,0.0,0.0
65.7808,roda,0.0,0.0,0.0
65.7891,key,0.0,0.0,0.0
65.7895,mux,0.0,0.0,0.0
65.8392,key,0.0,0.0,0.0
65.8396,mux,0.0,0.0,0.0
65.8807,roda,0.0,0.0,0.0
65.8891,key,0.0,0.0,0.0
65.8893,mux,0.0,0.0,0.0
65.9392,key,0.0,0.0,0.0
65.9395,mux,0.0,0.0,0.0
