t,fonte,key,mux,roda
39.7897,roda,0.0,0.0,0.0
39.8895,roda,0.0,0.0,0.0
39.992,roda,0.0,0.0,0.0
40.0894,roda,0.0,0.0,0.0
40.1894,roda,0.0,0.0,0.0
40.2905,roda,0.0,0.0,0.0
40.3896,roda,0.0,0.0,0.0
40.4897,roda,0.0,0.0,0.0
40.5909,roda,0.0,0.0,0.0
40.6899,roda,0.0,0.0,0.0
40.8086,roda,0.0,0.0,0.0
40.8895,roda,0.0,0.0,0.0
40.9896,roda,0.0,0.0,0.0
41.0907,roda,0.0,0.0,0.0
41.1896,roda,0.0,0.0,0.0
41.291,roda,0.0,0.0,0.0
41.3902,roda,0.0,0.0,0.0
41.4898,roda,0.0,0.0,0.0
41.5915,roda,0.0,0.0,0.0
41.6895,roda,0.0,0.0,0.0
41.7896,roda,0.0,0.0,0.0
41.8895,roda,0.0,0.0,0.0
41.9895,roda,0.0,0.0,0.0
42.0896,roda,0.0,0.0,0.0
42.1896,roda,0.0,0.0,0.0
42.2896,roda,0.0,0.0,0.0
42.3898,roda,0.0,0.0,0.0
42.4896,roda,0.0,0.0,0.0
42.5895,roda,0.0,0.0,0.0
42.6896,roda,0.0,0.0,0.0
42.7896,roda,0.0,0.0,0.0
42.8897,roda,0.0,0.0,0.0
42.9899,roda,0.0,0.0,0.0
43.0896,roda,0.0,0.0,0.0
43.1895,roda,0.0,0.0,0.0
43.2916,roda,0.0,0.0,0.0
43.3896,roda,0.0,0.0,0.0
43.4908,roda,0.0,0.0,0.0
43.5896,roda,0.0,0.0,0.0
43.6895,roda,0.0,0.0,0.0
43.7896,roda,0.0,0.0,0.0
43.8902,roda,0.0,0.0,0.0
43.9896,roda,0.0,0.0,0.0
