t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
36.4,seguindo,2.0054,-0.0073,0.1415,-0.2918,-0.4333,0.5,3.7416,22.3577,0.37,2.4153,-0.1304,0.1086
36.45,seguindo,2.0229,-0.005,0.1433,-0.3094,-0.4527,0.5,3.7242,22.3577,0.37,2.4153,-0.1304,0.1114
36.5,seguindo,2.0345,-0.0034,0.1441,-0.3221,-0.4662,0.5,3.7125,22.3577,0.37,2.4153,-0.1304,0.1134
36.55,seguindo,2.0523,-0.0005,0.1403,-0.3112,-0.4515,0.5,3.6946,15.2839,0.37,2.4652,-0.1333,0.1168
36.6,seguindo,2.0643,0.0015,0.136,-0.3244,-0.4604,0.5,3.6826,15.2839,0.37,2.4652,-0.1333,0.1192
36.65,seguindo,2.0824,0.0049,0.1244,-0.3463,-0.4708,0.5,3.6642,15.2839,0.37,2.4652,-0.1333,0.123
36.7,seguindo,2.0945,0.0071,0.1149,-0.3294,-0.4443,0.5,3.652,10.8519,0.37,2.5152,-0.1367,0.1256
36.75,seguindo,2.1127,0.0106,0.0957,-0.3446,-0.4403,0.5,3.613,10.8519,0.37,2.4931,-0.1259,0.1234
36.8,seguindo,2.1249,0.0129,0.0811,-0.3279,-0.409,0.5,3.6007,8.0681,0.37,2.543,-0.1293,0.126
36.85,seguindo,2.1426,0.0163,0.0543,-0.3489,-0.4032,0.5,3.5828,8.0681,0.37,2.543,-0.1293,0.1297
36.9,seguindo,2.1542,0.0184,0.0345,-0.3632,-0.3977,0.5,3.5711,8.0681,0.37,2.543,-0.1293,0.1321
36.95,seguindo,2.1716,0.0214,0.0028,-0.352,-0.3548,0.5,3.5535,6.3536,0.37,2.5929,-0.1334,0.1354
37.0,seguindo,2.1833,0.0231,-0.0191,-0.3648,-0.3457,0.5,3.5419,6.3536,0.37,2.5929,-0.1334,0.1374
37.05,seguindo,2.2009,0.0251,-0.0519,-0.3842,-0.3323,0.5,3.5245,6.3536,0.37,2.5929,-0.1334,0.1398
37.1,seguindo,2.2126,0.0262,-0.0737,-0.3972,-0.3235,0.5,3.5129,6.3536,0.37,2.5929,-0.1334,0.1411
37.15,seguindo,2.2304,0.0272,-0.1061,-0.3806,-0.2746,0.5,3.4957,5.393,0.37,2.6429,-0.1378,0.1426
37.2,seguindo,2.2423,0.0276,-0.1274,-0.3916,-0.2642,0.5,3.4843,5.393,0.37,2.6429,-0.1378,0.1433
37.25,seguindo,2.2602,0.0276,-0.1588,-0.4092,-0.2505,0.5,3.4691,5.393,0.37,2.6444,-0.1391,0.1437
37.3,seguindo,2.2721,0.0272,-0.1792,-0.4202,-0.2409,0.5,3.4578,5.393,0.37,2.6444,-0.1391,0.1437
37.35,seguindo,2.2901,0.0262,-0.21,-0.3981,-0.1881,0.5,3.4409,5.0841,0.37,2.6943,-0.1437,0.1433
37.4,seguindo,2.3021,0.0253,-0.2305,-0.4069,-0.1764,0.5,3.4298,5.0841,0.37,2.6943,-0.1437,0.1427
37.45,seguindo,2.3201,0.0233,-0.2603,-0.4198,-0.1595,0.5,3.4133,5.0841,0.37,2.6943,-0.1437,0.1413
37.5,seguindo,2.3322,0.0216,-0.2794,-0.3901,-0.1107,0.5,3.4023,5.6723,0.37,2.7442,-0.1479,0.14
