pid,ppid,pgid,sid,starttime,estado,marcado,argv
220622,7693,4360,4360,301935,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=63 --launch-time-ticks=3019336436 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,10780788835675835984,16756033851078053295,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709045345507981"
579713,4061,579713,579713,702879,S,False,/snap/firmware-updater/226/bin/firmware-notifier
986859,7693,4360,4360,1254000,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=161 --launch-time-ticks=12540006615 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,6752212740423663673,3872040462735628381,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709137175609183"
991076,7693,4360,4360,1260001,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=162 --launch-time-ticks=12600007719 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,9964465508089218306,11800071159117468123,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709138112651032"
1103301,4090,4090,4090,1412404,S,False,/usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
1652172,1652171,2604,2604,2167197,S,False,/usr/share/rustdesk/rustdesk --server
1652181,1652172,2604,2604,2167210,S,False,/usr/share/rustdesk/rustdesk --tray
1709970,17764,1709970,1709970,2238351,S,False,"/bin/bash -c source /home/rbe-luis/.claude/shell-snapshots/snapshot-bash-1790082480278-f10yss.sh 2>/dev/null || true && shopt -u extglob 2>/dev/null || true && { \builtin unalias -- 'unsetenv'; \builtin unset -f -- 'unsetenv'; } >/dev/null 2>&1 || true && eval 'tail -F /tmp/claude-1000/-home-rbe-luis-Workspace-Controle-robo-livox/7e51c999-8a53-48ed-a2b2-39fb48154748/scratchpad/stamped2.out 2>/dev/null | grep --line-buffered -E ""🔴|rc=|Traceback|🟢 APROVADO — pasta|frames exatos""' < /dev/null && pwd -P >| /tmp/claude-045b-cwd"
1709972,1709970,1709972,1709970,2238352,S,False,tail -F /tmp/claude-1000/-home-rbe-luis-Workspace-Controle-robo-livox/7e51c999-8a53-48ed-a2b2-39fb48154748/scratchpad/stamped2.out
1709973,1709970,1709972,1709970,2238352,S,False,"/bin/bash -c source /home/rbe-luis/.claude/shell-snapshots/snapshot-bash-1790082480278-f10yss.sh 2>/dev/null || true && shopt -u extglob 2>/dev/null || true && { \builtin unalias -- 'unsetenv'; \builtin unset -f -- 'unsetenv'; } >/dev/null 2>&1 || true && eval 'tail -F /tmp/claude-1000/-home-rbe-luis-Workspace-Controle-robo-livox/7e51c999-8a53-48ed-a2b2-39fb48154748/scratchpad/stamped2.out 2>/dev/null | grep --line-buffered -E ""🔴|rc=|Traceback|🟢 APROVADO — pasta|frames exatos""' < /dev/null && pwd -P >| /tmp/claude-045b-cwd"
