fase,trecho,t,x,y,yaw,v_pose,wz_pose,cmd_v_bruto,cmd_wz_bruto,cmd_v_placa,cmd_wz_placa,cmd_v,cmd_wz,alvo_x,alvo_y,dist
afericao,giro_030,3.691,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.691,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.692,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.692,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.693,0.0256,-0.0593,0.8151,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.693,0.0256,-0.0593,0.8151,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.694,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.694,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.695,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.695,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.696,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.696,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.697,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.697,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.698,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.698,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.699,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.699,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.7,0.0256,-0.0593,0.8151,-0.019,0.2326,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.7,0.0256,-0.0593,0.8151,-0.019,0.2326,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.7,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.7,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.702,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.702,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.703,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.703,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.704,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.704,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.704,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.705,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.705,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.705,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.706,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.706,0.0259,-0.0596,0.8202,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.707,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.707,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.708,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.708,0.0259,-0.0596,0.8202,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
