dente,fase,t,cmd_v,v_esq,v_dir,x,y,yaw
0,para,2.3162715435028076,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3226206302642822,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3291492462158203,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3351855278015137,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.341125965118408,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3470771312713623,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.35324764251709,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.354074001312256,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3542654514312744,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3546385765075684,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3547792434692383,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3551337718963623,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3552730083465576,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.355595827102661,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3557329177856445,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3560972213745117,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3562445640563965,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3565919399261475,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.356736421585083,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.357121229171753,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.357286214828491,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.3576865196228027,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.35787296295166,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.358511209487915,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.3586928844451904,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.3588340282440186,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.359231472015381,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.3593780994415283,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.364914894104004,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.3706727027893066,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.3765358924865723,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.382474899291992,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.38832950592041,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.394298553466797,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4005770683288574,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4066061973571777,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.412749767303467,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4192328453063965,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.425520658493042,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4313879013061523,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4372971057891846,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.443232297897339,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4491841793060303,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
0,para,2.4549527168273926,0.0,0.0,-0.0,0.33561487973955806,0.2279226665590734,0.669921096627511
